variables,units,values,description
sse_tune.tune_rosco.Ct_table,,"[[ 5.70502694e-02  5.87053078e-02  6.04700196e-02  6.23519515e-02
   6.43502881e-02  6.64574661e-02  6.86308289e-02  7.07472341e-02
   7.26924038e-02  7.44580174e-02  7.60869693e-02  7.73947230e-02
   7.80355417e-02  7.75974090e-02  7.56590377e-02  7.21198363e-02
   6.72348496e-02  6.13654500e-02  5.47864422e-02  4.76882128e-02]
 [ 8.43000152e-02  8.76672371e-02  9.12004950e-02  9.48420248e-02
   9.83787076e-02  1.01625393e-01  1.04645530e-01  1.07462314e-01
   1.09660596e-01  1.10704380e-01  1.09902168e-01  1.06552540e-01
   1.00699848e-01  9.29992070e-02  8.40255586e-02  7.41335064e-02
   6.35750413e-02  5.25409846e-02  4.11616279e-02  2.95356457e-02]
 [ 1.22479579e-01  1.27960039e-01  1.33172395e-01  1.37944755e-01
   1.42505681e-01  1.46627632e-01  1.49599214e-01  1.50496858e-01
   1.48124977e-01  1.41792391e-01  1.32273789e-01  1.20614796e-01
   1.07442125e-01  9.32077993e-02  7.82307305e-02  6.27066330e-02
   4.67757647e-02  3.05704151e-02  1.42001298e-02 -2.26921787e-03]
 [ 1.71519623e-01  1.78336367e-01  1.84848211e-01  1.90960704e-01
   1.95727147e-01  1.97655767e-01  1.95081559e-01  1.87154585e-01
   1.74811781e-01  1.59467425e-01  1.42060816e-01  1.23225557e-01
   1.03399615e-01  8.28172224e-02  6.16693637e-02  4.01763524e-02
   1.85035763e-02 -3.28096597e-03 -2.51266898e-02 -4.63194614e-02]
 [ 2.29978139e-01  2.38649032e-01  2.46483622e-01  2.51407020e-01
   2.50992141e-01  2.44013456e-01  2.30730884e-01  2.12676323e-01
   1.91488255e-01  1.68135426e-01  1.43258749e-01  1.17253178e-01
   9.03763727e-02  6.29679825e-02  3.53110291e-02  7.51136451e-03
  -2.04308207e-02 -4.83401440e-02 -7.48034304e-02 -9.73343795e-02]
 [ 2.98864134e-01  3.08671516e-01  3.13301212e-01  3.10277566e-01
   2.99519304e-01  2.81415462e-01  2.57861242e-01  2.30808981e-01
   2.01253471e-01  1.69854522e-01  1.37081673e-01  1.03347654e-01
   6.91224065e-02  3.46701850e-02  3.60382813e-05 -3.47903481e-02
  -6.95243928e-02 -1.02271514e-01 -1.29760055e-01 -1.50159228e-01]
 [ 3.77030310e-01  3.81418969e-01  3.76575719e-01  3.62966927e-01
   3.40828993e-01  3.12179162e-01  2.79326385e-01  2.43389933e-01
   2.05102797e-01  1.65144558e-01  1.24099556e-01  8.24939764e-02
   4.06063887e-02 -1.54463050e-03 -4.39330869e-02 -8.62843156e-02
  -1.26635418e-01 -1.60989817e-01 -1.86497920e-01 -2.03580544e-01]
 [ 4.55769415e-01  4.50097991e-01  4.34779363e-01  4.09794655e-01
   3.76800886e-01  3.38444856e-01  2.96193954e-01  2.50908324e-01
   2.03517005e-01  1.54788618e-01  1.05287636e-01  5.53669571e-02
   5.07573237e-03 -4.55136498e-02 -9.61682942e-02 -1.45347203e-01
  -1.88765761e-01 -2.21889861e-01 -2.44509954e-01 -2.58234009e-01]
 [ 5.30126822e-01  5.14393220e-01  4.88157946e-01  4.52151352e-01
   4.09032959e-01  3.60897162e-01  3.08827697e-01  2.53975673e-01
   1.97330533e-01  1.39546655e-01  8.10831674e-02  2.20981046e-02
  -3.72854731e-02 -9.68243195e-02 -1.55617818e-01 -2.09922232e-01
  -2.53770924e-01 -2.84735455e-01 -3.04364025e-01 -3.15523618e-01]
 [ 5.99892615e-01  5.74457418e-01  5.37579439e-01  4.91207297e-01
   4.38095873e-01  3.79896017e-01  3.17901797e-01  2.53343494e-01
   1.87094376e-01  1.19727859e-01  5.15917133e-02 -1.71134045e-02
  -8.61031060e-02 -1.54841464e-01 -2.20936854e-01 -2.78390171e-01
  -3.21282938e-01 -3.49828519e-01 -3.67126176e-01 -3.76385457e-01]
 [ 6.64925902e-01  6.30625074e-01  5.83792365e-01  5.27489424e-01
   4.64395088e-01  3.96095497e-01  3.24038740e-01  2.49428816e-01
   1.73047290e-01  9.54522413e-02  1.70018410e-02 -6.19504184e-02
  -1.40911242e-01 -2.18790454e-01 -2.91078536e-01 -3.49991602e-01
  -3.91498472e-01 -4.17774391e-01 -4.33904199e-01 -4.41129807e-01]
 [ 7.24930784e-01  6.83047257e-01  6.27212370e-01  5.61465078e-01
   4.88491722e-01  4.10006095e-01  3.27586498e-01  2.42427128e-01
   1.55329332e-01  6.68812182e-02 -2.24214480e-02 -1.12049434e-01
  -2.01314485e-01 -2.87987733e-01 -3.65350882e-01 -4.24625506e-01
  -4.64607012e-01 -4.89723738e-01 -5.05225014e-01 -5.09660187e-01]
 [ 7.80684495e-01  7.31696519e-01  6.68279900e-01  5.93626311e-01
   5.10805910e-01  4.21921453e-01  3.28724616e-01  2.32489217e-01
   1.34082367e-01  3.42331481e-02 -6.64029228e-02 -1.67108784e-01
  -2.66953328e-01 -3.61979448e-01 -4.43207751e-01 -5.02435512e-01
  -5.41369681e-01 -5.66443658e-01 -5.81057564e-01 -5.81583028e-01]
 [ 8.33117702e-01  7.76782485e-01  7.07375934e-01  6.24282084e-01
   5.31590948e-01  4.32011134e-01  3.27591516e-01  2.19745470e-01
   1.09482104e-01 -2.27603306e-03 -1.14706103e-01 -2.26933088e-01
  -3.37511821e-01 -4.40371608e-01 -5.24412179e-01 -5.83943239e-01
  -6.22535721e-01 -6.48194090e-01 -6.60939295e-01 -6.56767123e-01]
 [ 8.83553487e-01  8.19056499e-01  7.44639107e-01  6.53610906e-01
   5.50993408e-01  4.40406266e-01  3.24318580e-01  2.04335960e-01
   8.17023271e-02 -4.24654500e-02 -1.67162115e-01 -2.91394203e-01
  -4.12714850e-01 -5.22702695e-01 -6.09367956e-01 -6.69538144e-01
  -7.08658986e-01 -7.34547250e-01 -7.44746552e-01 -7.35313492e-01]
 [ 9.33762470e-01  8.58896286e-01  7.80012248e-01  6.81696970e-01
   5.69118639e-01  4.47224974e-01  3.19029087e-01  1.86403210e-01
   5.08870033e-02 -8.62013280e-02 -2.23655652e-01 -3.60351162e-01
  -4.92188621e-01 -6.08994862e-01 -6.98460026e-01 -7.59664762e-01
  -7.99575934e-01 -8.25360447e-01 -8.32651652e-01 -8.17125731e-01]
 [ 9.84396751e-01  8.97784491e-01  8.13229240e-01  7.08568690e-01
   5.86057419e-01  4.52579583e-01  3.11835265e-01  1.66067388e-01
   1.71487526e-02 -1.33376513e-01 -2.84112130e-01 -4.33545570e-01
  -5.75810033e-01 -6.99427545e-01 -7.92115994e-01 -8.54228462e-01
  -8.95216304e-01 -9.20907387e-01 -9.24524551e-01 -9.02082744e-01]
 [ 1.03576183e+00  9.37011715e-01  8.43985822e-01  7.34216768e-01
   6.01892752e-01  4.56575017e-01  3.02834152e-01  1.43425268e-01
  -1.94312854e-02 -1.83914283e-01 -3.48432278e-01 -5.10658940e-01
  -6.63784479e-01 -7.94303109e-01 -8.90288934e-01 -9.53147912e-01
  -9.95940024e-01 -1.02113569e+00 -1.02010754e+00 -9.90225865e-01]
 [ 1.08799640e+00  9.76749059e-01  8.72967620e-01  7.58585173e-01
   6.16698676e-01  4.59292666e-01  2.92109672e-01  1.18548157e-01
  -5.87845553e-02 -2.37758468e-01 -4.16406376e-01 -5.91774203e-01
  -7.56229478e-01 -8.93840600e-01 -9.92570388e-01 -1.05685759e+00
  -1.10181264e+00 -1.12576836e+00 -1.11933852e+00 -1.08166905e+00]
 [ 1.14122381e+00  1.01712419e+00  9.01163062e-01  7.81544875e-01
   6.30530288e-01  4.60794256e-01  2.79730292e-01  9.14914314e-02
  -1.00855111e-01 -2.94812750e-01 -4.87820105e-01 -6.77065453e-01
  -8.53456065e-01 -9.97680027e-01 -1.09901864e+00 -1.16570927e+00
  -1.21258289e+00 -1.23470034e+00 -1.22226671e+00 -1.17651198e+00]]",table of aero thrust coefficient
sse_tune.tune_rosco.Cq_table,,"[[ 9.01840382e-03  1.04921925e-02  1.20214537e-02  1.36066511e-02
   1.52482325e-02  1.69492697e-02  1.87504401e-02  2.07198486e-02
   2.27937282e-02  2.49208985e-02  2.70679315e-02  2.90510326e-02
   3.05865223e-02  3.14121021e-02  3.13369288e-02  3.03520603e-02
   2.86131560e-02  2.63092780e-02  2.35810296e-02  2.05189275e-02]
 [ 1.42011978e-02  1.61816858e-02  1.82342155e-02  2.04148414e-02
   2.28636101e-02  2.54806700e-02  2.82100830e-02  3.09567496e-02
   3.33931634e-02  3.51527610e-02  3.59409660e-02  3.55599050e-02
   3.40823948e-02  3.17887225e-02  2.89160130e-02  2.56017517e-02
   2.19415775e-02  1.80113339e-02  1.38702108e-02  9.55158701e-03]
 [ 1.98355477e-02  2.24895587e-02  2.55350767e-02  2.88300131e-02
   3.23049141e-02  3.56624887e-02  3.84187555e-02  4.01555856e-02
   4.05715891e-02  3.95481939e-02  3.73746624e-02  3.44081602e-02
   3.08537338e-02  2.68512655e-02  2.25024115e-02  1.78814582e-02
   1.30405684e-02  8.00951995e-03  2.80545090e-03 -2.57290151e-03]
 [ 2.61851461e-02  3.01247969e-02  3.43744593e-02  3.85536340e-02
   4.20607838e-02  4.43650594e-02  4.51090823e-02  4.41909463e-02
   4.19169330e-02  3.86902633e-02  3.47717101e-02  3.03250328e-02
   2.54725547e-02  2.02920176e-02  1.48477682e-02  9.18432277e-03
   3.32025422e-03 -2.75346555e-03 -9.04854695e-03 -1.53746063e-02]
 [ 3.38206088e-02  3.89632813e-02  4.36552240e-02  4.71887140e-02
   4.90276695e-02  4.90202844e-02  4.73252556e-02  4.43266570e-02
   4.04195576e-02  3.58276309e-02  3.07014841e-02  2.51472990e-02
   1.92403998e-02  1.30589233e-02  6.64213349e-03 -1.63851210e-05
  -6.94962706e-03 -1.41440542e-02 -2.12587139e-02 -2.76615826e-02]
 [ 4.21840279e-02  4.74096535e-02  5.10701737e-02  5.27320843e-02
   5.24779177e-02  5.04673397e-02  4.71028041e-02  4.27925108e-02
   3.77439608e-02  3.21002827e-02  2.59699475e-02  1.94441762e-02
   1.26139100e-02  5.50826210e-03 -1.90085165e-03 -9.65609008e-03
  -1.77337625e-02 -2.57250709e-02 -3.28784709e-02 -3.87412652e-02]
 [ 4.96215381e-02  5.36416731e-02  5.55732839e-02  5.55258758e-02
   5.36143316e-02  5.02176048e-02  4.57663343e-02  4.04772876e-02
   3.44912092e-02  2.79333173e-02  2.09116634e-02  1.35253079e-02
   5.80528230e-03 -2.28776019e-03 -1.07995228e-02 -1.97251603e-02
  -2.86900232e-02 -3.68593203e-02 -4.35906500e-02 -4.89015716e-02]
 [ 5.46600880e-02  5.72837659e-02  5.78815291e-02  5.65004462e-02
   5.34368036e-02  4.91370657e-02  4.38598283e-02  3.77474262e-02
   3.09431356e-02  2.35726655e-02  1.57423511e-02  7.50277822e-03
  -1.18326936e-03 -1.03624521e-02 -2.00533477e-02 -3.00089610e-02
  -3.94167164e-02 -4.73517546e-02 -5.36822916e-02 -5.86644173e-02]
 [ 5.73092911e-02  5.90159767e-02  5.86407788e-02  5.63529332e-02
   5.25660284e-02  4.76085817e-02  4.16411193e-02  3.48177349e-02
   2.72844858e-02  1.91593206e-02  1.05207438e-02  1.35599622e-03
  -8.37998908e-03 -1.87162826e-02 -2.95579332e-02 -4.02686512e-02
  -4.97418202e-02 -5.74344551e-02 -6.35250207e-02 -6.85706271e-02]
 [ 5.80875657e-02  5.93036196e-02  5.83525992e-02  5.55578445e-02
   5.13086530e-02  4.58294690e-02  3.92803266e-02  3.18257272e-02
   2.36067471e-02  1.47281687e-02  5.22419815e-03 -4.93667169e-03
  -1.57859745e-02 -2.73144136e-02 -3.91802474e-02 -5.03735591e-02
  -5.97972957e-02 -6.73483723e-02 -7.34941376e-02 -7.89282956e-02]
 [ 5.73093045e-02  5.85084658e-02  5.73855532e-02  5.43791796e-02
   4.98297621e-02  4.39357427e-02  3.68802116e-02  2.88347171e-02
   1.99341693e-02  1.02641622e-02 -1.65061611e-04 -1.13786355e-02
  -2.33876746e-02 -3.61021364e-02 -4.88490690e-02 -6.03334432e-02
  -6.97575807e-02 -7.73226645e-02 -8.38824800e-02 -8.98534314e-02]
 [ 5.52206598e-02  5.68986739e-02  5.59705570e-02  5.29669151e-02
   4.82359270e-02  4.20074487e-02  3.44903701e-02  2.58627564e-02
   1.62597326e-02  5.75196060e-03 -5.65193754e-03 -1.79649240e-02
  -3.11802199e-02 -4.50416544e-02 -5.85443843e-02 -7.02403715e-02
  -7.97482578e-02 -8.76266918e-02 -9.48203972e-02 -1.01365583e-01]
 [ 5.22460832e-02  5.46485295e-02  5.42437898e-02  5.14092199e-02
   4.65924714e-02  4.00857366e-02  3.21266458e-02  2.29098481e-02
   1.25720991e-02  1.18558613e-03 -1.12377576e-02 -2.46967650e-02
  -3.91591285e-02 -5.41249229e-02 -6.82613494e-02 -8.01944501e-02
  -8.99476704e-02 -9.84208733e-02 -1.06333690e-01 -1.13444647e-01]
 [ 4.86883307e-02  5.18735994e-02  5.22755372e-02  4.97573581e-02
   4.49356976e-02  3.81864382e-02  2.97909088e-02  1.99688401e-02
   8.86535558e-03 -3.43902592e-03 -1.69262811e-02 -3.15854709e-02
  -4.73217014e-02 -6.33473013e-02 -7.80286241e-02 -9.03208660e-02
  -1.00502432e-01 -1.09764557e-01 -1.18383171e-01 -1.26109153e-01]
 [ 4.48002208e-02  4.87047419e-02  5.00973358e-02  4.80406032e-02
   4.32809909e-02  3.63136342e-02  2.74812778e-02  1.70339337e-02
   5.13476096e-03 -8.12777691e-03 -2.27264322e-02 -3.86457211e-02
  -5.56667527e-02 -7.26908126e-02 -8.79449377e-02 -1.00703094e-01
  -1.11516825e-01 -1.21618864e-01 -1.30965440e-01 -1.39403709e-01]
 [ 4.09105969e-02  4.51757732e-02  4.77128660e-02  4.62703275e-02
   4.16332876e-02  3.44670802e-02  2.51945483e-02  1.41007715e-02
   1.37400633e-03 -1.28892221e-02 -2.86499104e-02 -4.58858797e-02
  -6.41789213e-02 -8.21915240e-02 -9.80884229e-02 -1.11421715e-01
  -1.22995792e-01 -1.33977625e-01 -1.44115242e-01 -1.53339194e-01]
 [ 3.71074075e-02  4.15657726e-02  4.50941789e-02  4.44469022e-02
   3.99928517e-02  3.26455424e-02  2.29264740e-02  1.11640409e-02
  -2.42450192e-03 -1.77322783e-02 -3.47091595e-02 -5.32984272e-02
  -7.28691765e-02 -9.18956244e-02 -1.08528661e-01 -1.22491812e-01
  -1.34942398e-01 -1.46881750e-01 -1.57834601e-01 -1.67918106e-01]
 [ 3.34071155e-02  3.81136151e-02  4.22046782e-02  4.25629032e-02
   3.83581842e-02  3.08472062e-02  2.06721578e-02  8.21757384e-03
  -6.26941886e-03 -2.26663128e-02 -4.09111248e-02 -6.08682614e-02
  -8.17796743e-02 -1.01852234e-01 -1.19278671e-01 -1.33922365e-01
  -1.47400637e-01 -1.60334678e-01 -1.72111558e-01 -1.83155774e-01]
 [ 2.98086109e-02  3.48159845e-02  3.91926031e-02  4.06037788e-02
   3.67266704e-02  2.90683986e-02  1.84265590e-02  5.25426489e-03
  -1.01686370e-02 -2.77001108e-02 -4.72498149e-02 -6.86208229e-02
  -9.09343283e-02 -1.12099603e-01 -1.30311905e-01 -1.45770986e-01
  -1.60381090e-01 -1.74315035e-01 -1.86955971e-01 -1.99066350e-01]
 [ 2.63233194e-02  3.16858285e-02  3.62272777e-02  3.85466657e-02
   3.50938911e-02  2.73044289e-02  1.61843298e-02  2.26703318e-03
  -1.41292380e-02 -3.28368358e-02 -5.37184782e-02 -7.65859558e-02
  -1.00372495e-01 -1.22616754e-01 -1.41646319e-01 -1.58081796e-01
  -1.73861940e-01 -1.88819016e-01 -2.02388328e-01 -2.15657635e-01]]",table of aero torque coefficient
sse_tune.tune_rosco.pitch_vector,rad,"[-0.08726646 -0.05511566 -0.02296486  0.00918594  0.04133675  0.07348755
  0.10563835  0.13778915  0.16993995  0.20209076  0.23424156  0.26639236
  0.29854316  0.33069396  0.36284477  0.39499557  0.42714637  0.45929717
  0.49144797  0.52359878]",Pitch vector used
sse_tune.tune_rosco.tsr_vector,,"[ 2.          2.52631579  3.05263158  3.57894737  4.10526316  4.63157895
  5.15789474  5.68421053  6.21052632  6.73684211  7.26315789  7.78947368
  8.31578947  8.84210526  9.36842105  9.89473684 10.42105263 10.94736842
 11.47368421 12.        ]",TSR vector used
sse_tune.tune_rosco.U_vector,m/s,[4.],Wind speed vector used
sse_tune.airfoils_Ctrl,,"[[[ 0.          0.          0.        ]]

 [[ 0.          0.          0.        ]]

 [[ 0.          0.          0.        ]]

 [[ 0.          0.          0.        ]]

 [[ 0.          0.          0.        ]]

 [[ 0.          0.          0.        ]]

 [[ 0.          0.          0.        ]]

 [[ 0.          0.          0.        ]]

 [[ 0.          0.          0.        ]]

 [[ 0.          0.          0.        ]]

 [[ 0.          0.          0.        ]]

 [[ 0.          0.          0.        ]]

 [[ 0.          0.          0.        ]]

 [[ 0.          0.          0.        ]]

 [[-0.17453293  0.          0.17453293]]

 [[-0.17453293  0.          0.17453293]]

 [[-0.17453293  0.          0.17453293]]

 [[-0.17453293  0.          0.17453293]]

 [[-0.17453293  0.          0.17453293]]

 [[-0.17453293  0.          0.17453293]]

 [[-0.17453293  0.          0.17453293]]

 [[-0.17453293  0.          0.17453293]]

 [[-0.17453293  0.          0.17453293]]

 [[-0.17453293  0.          0.17453293]]

 [[-0.17453293  0.          0.17453293]]

 [[-0.17453293  0.          0.17453293]]

 [[-0.17453293  0.          0.17453293]]

 [[-0.17453293  0.          0.17453293]]

 [[-0.17453293  0.          0.17453293]]

 [[ 0.          0.          0.        ]]]",Airfoil control paremeter (i.e. flap angle or LEMS height)
sse_tune.tune_rosco.shearExp,,[0.],shear exponent
sse_tune.tune_rosco.delta_max_pos,,[0.17453293],1D array of the max DAC parameter values.
sse_tune.tune_rosco.zeta_pc,,[1.2],Pitch controller damping ratio
sse_tune.tune_rosco.omega_pc,rad/s,[0.1],Pitch controller natural frequency
sse_tune.tune_rosco.stability_margin,,[0.],Maximum stability margin for robust scheduling
sse_tune.tune_rosco.omega_pc_max,,[0.],Maximum allowable omega margin for robust scheduling
sse_tune.tune_rosco.twr_freq,Hz,[0.20721334],Tower natural frequency
sse_tune.tune_rosco.ptfm_freq,rad/s,[0.2],Platform natural frequency
sse_tune.tune_rosco.Kp_float,s,[0.],Floating feedback gain
sse_tune.tune_rosco.zeta_vs,,[0.5],Generator torque controller damping ratio
sse_tune.tune_rosco.omega_vs,rad/s,[0.1],Generator torque controller natural frequency
sse_tune.tune_rosco.dac_kp_norm,,[0.83722973],Flap controller normalized gain
sse_tune.tune_rosco.dac_tau,s,[12.25817422],Flap controller integral gain time constant
sse_tune.tune_rosco.IPC_Kp1p,s,[0.],Individual pitch controller 1p proportional gain
sse_tune.tune_rosco.IPC_Ki1p,,[0.],Individual pitch controller 1p integral gain
sse_tune.tune_rosco.nSector,Unavailable,4,number of sectors to divide rotor face into in computing thrust and power
sse_tune.tune_rosco.tiploss,Unavailable,True,include Prandtl tip loss model
sse_tune.tune_rosco.hubloss,Unavailable,True,include Prandtl hub loss model
sse_tune.tune_rosco.wakerotation,Unavailable,True,"include effect of wake rotation (i.e., tangential induction factor is nonzero)"
sse_tune.tune_rosco.usecd,Unavailable,True,use drag coefficient in computing induction factors
aeroelastic.V_cutin,m/s,[4.],Minimum wind speed where turbine operates (cut-in)
aeroelastic.V_cutout,m/s,[25.],Maximum wind speed where turbine operates (cut-out)
aeroelastic.Vrated,m/s,[8.470311],rated wind speed
aeroelastic.hub_height,m,[140.],hub height
aeroelastic.Rtip,m,[102.82623224],dimensional radius of tip
aeroelastic.shearExp,,[0.2],shear exponent
aeroelastic.r,m,"[  3.           6.44228387   9.88456774  13.32685161  16.76913548
  20.21141935  23.65370322  27.09598709  30.53827096  33.98055483
  37.4228387   40.86512257  44.30740645  47.74969032  52.91311612
  54.63425806  58.07654193  61.5188258   64.96110967  68.40339354
  71.84567741  75.28796128  78.73024515  82.17252902  85.61481289
  89.05709676  92.49938063  95.9416645   97.83492063 102.82623224]",radial positions. r[0] should be the hub location                 while r[-1] should be the blade tip. Any number                 of locations can be specified between these in ascending order.
aeroelastic.le_location,,"[0.5        0.49816955 0.48992341 0.47666778 0.47368421 0.47368421
 0.47368421 0.47368421 0.47368421 0.47368421 0.47368421 0.46808511
 0.4612069  0.44196429 0.4267379  0.42095775 0.41010371 0.40195138
 0.39522149 0.39116278 0.3905275  0.39134099 0.39523274 0.40007425
 0.40504215 0.41113787 0.41946139 0.43201533 0.44367466 0.5       ]",Leading-edge positions from a reference blade axis (usually blade pitch axis). Locations are normalized by the local chord length. Positive in -x direction for airfoil-aligned coordinate system
aeroelastic.beam:Tw_iner,m,"[30.55250184 42.90723035 17.8268419  20.00845369 18.18534986 15.41260271
 12.1355827   9.07943399  7.33847337  7.23825417  7.24796626  7.21930544
  7.16106879  6.99058306  6.144749    5.81652773  5.1008489   4.51016557
  3.99426011  3.48226652  3.83492262  2.16326579  1.11604251 -0.16420369
 -1.42031046 -2.45873493 -3.2903616  -3.94760168 -4.24401546 -4.58284898]",y-distance to elastic center from point about which above structural properties are computed
aeroelastic.beam:rhoA,kg/m,"[2266.13610201 1858.30111809 1560.06645716 1299.85406619 1001.87824876
  816.63840464  695.96678768  608.20368324  544.60978033  500.76647216
  472.03298432  450.19691479  432.24320936  409.21977234  376.83640085
  347.04287825  314.02672281  277.20220785  241.50886974  209.37995834
  638.9051686   150.87705908  124.659299    101.88440269   79.52988358
   61.87548205   47.30555123   33.97308932   24.39934959   10.13257764]",mass per unit length
aeroelastic.beam:EIyy,N*m**2,"[7.98160892e+10 7.33959222e+10 5.81399410e+10 4.00367558e+10
 2.70099404e+10 1.91997478e+10 1.49863157e+10 1.15931391e+10
 9.33060945e+09 8.10115336e+09 7.17925744e+09 6.28862581e+09
 5.49771351e+09 4.60742643e+09 3.42601983e+09 2.91056856e+09
 2.23610168e+09 1.70248106e+09 1.27653112e+09 9.39385289e+08
 1.01230550e+09 4.65828828e+08 3.09705781e+08 1.94181680e+08
 1.10159978e+08 5.77396501e+07 2.73058116e+07 1.08324472e+07
 4.80595101e+06 4.74261815e+05]",flatwise stiffness (bending about y-direction of airfoil aligned coordinate system)
aeroelastic.beam:EIxx,N*m**2,"[7.98178777e+10 7.04244886e+10 6.39156662e+10 5.10973607e+10
 3.93367296e+10 3.19899325e+10 2.75460365e+10 2.44750599e+10
 2.24622519e+10 2.11788391e+10 2.03053898e+10 1.93839289e+10
 1.83711682e+10 1.67938448e+10 1.39539106e+10 1.17135673e+10
 9.38905359e+09 7.10260426e+09 5.22132113e+09 3.76085033e+09
 3.61837822e+09 1.83286331e+09 1.24383627e+09 8.23715501e+08
 4.97031438e+08 2.93618932e+08 1.64308766e+08 8.34826254e+07
 4.12088281e+07 5.96241152e+06]",edgewise stiffness (bending about :ref:`x-direction of airfoil aligned coordinate system <blade_airfoil_coord>`)
aeroelastic.x_tc,m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]",x-distance to the neutral axis (torsion center)
aeroelastic.y_tc,m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]",y-distance to the neutral axis (torsion center)
aeroelastic.flap_mode_shapes,,"[[ 1.09977550e-02  1.66693382e+00 -5.10127637e-01 -6.30369338e-01
   4.62565404e-01]
 [-9.16187207e-02 -1.59355189e+00  2.65235946e+00 -2.32671021e+00
   2.35952136e+00]
 [ 1.05431424e+00 -4.95932224e+00  2.34527454e+01 -4.65946296e+01
   2.80468921e+01]
 [ 3.41923029e+01 -2.50457126e+02  6.41928817e+02 -6.92013256e+02
   2.67349262e+02]
 [ 1.64860321e+01 -1.44289474e+02  4.16031530e+02 -4.86469330e+02
   1.99241242e+02]]","6-degree polynomial coefficients of mode shapes in the flap direction (x^2..x^6, no linear or constant term)"
aeroelastic.edge_mode_shapes,,"[[  0.37775351   3.88206982  -7.91869521   6.5976799   -1.93880802]
 [ -0.32551637  -4.86967591  15.73910793 -16.61700286   7.07308721]
 [  2.61171285  -9.30776137  17.5190475  -24.67807079  14.8550718 ]
 [ -1.78562685  29.71284896 -92.75285988 100.11282258 -34.28718481]
 [ -7.31642787  29.59514148 -20.39649604 -31.67198632  30.78976875]]","6-degree polynomial coefficients of mode shapes in the edge direction (x^2..x^6, no linear or constant term)"
aeroelastic.gearbox_efficiency,,[0.95],Gearbox efficiency
aeroelastic.gearbox_ratio,,[96.76],Gearbox ratio
aeroelastic.platform_displacement,m**3,[1.],Volumetric platform displacement
aeroelastic.generator_efficiency,,[0.9025],Generator efficiency
aeroelastic.max_pitch_rate,deg/s,[1.99898609],Maximum allowed blade pitch rate
aeroelastic.fore_aft_modes,,"[[ 1.15031044e+00 -9.42374034e-02 -1.16638527e-02 -5.36611158e-03
  -3.90430693e-02]
 [-6.32867210e+01  5.59883762e+01  9.02536449e+00  5.39252903e+00
  -6.11954875e+00]
 [-5.35325813e+01  6.87233212e+01  6.01268256e+01 -8.96009826e+01
   1.52834172e+01]]","6-degree polynomial coefficients of mode shapes in the flap direction (x^2..x^6, no linear or constant term)"
aeroelastic.side_side_modes,,"[[ 1.13878062e+00 -8.70665662e-02 -9.32850657e-03 -6.18358257e-03
  -3.62019636e-02]
 [ 6.50237223e+02 -5.30861175e+02 -8.57266669e+01 -5.67352298e+01
   2.40543744e+01]
 [-4.58112665e+01  5.74959341e+01  4.31638603e+01 -6.03882857e+01
   6.53975780e+00]]","6-degree polynomial coefficients of mode shapes in the edge direction (x^2..x^6, no linear or constant term)"
aeroelastic.mass_den,kg/m,"[9639.07703025 8622.61477518 7649.74157786 6795.5079111  5999.84470102
 5206.69361172 4422.55525651 3685.97686814 3055.5302826  2692.2359476 ]",sectional mass per unit length
aeroelastic.foreaft_stff,N*m**2,"[1.01821114e+12 9.12841091e+11 8.11547430e+11 7.22249667e+11
 6.38774646e+11 5.55275245e+11 4.72442067e+11 3.94376995e+11
 3.21393234e+11 2.61329505e+11]",sectional fore-aft bending stiffness per unit length about the Y_E elastic axis
aeroelastic.sideside_stff,N*m**2,"[1.01821114e+12 9.12841091e+11 8.11547430e+11 7.22249667e+11
 6.38774646e+11 5.55275245e+11 4.72442067e+11 3.94376995e+11
 3.21393234e+11 2.61329505e+11]",sectional side-side bending stiffness per unit length about the Y_E elastic axis
aeroelastic.tor_stff,N*m**2,"[8.07441433e+11 7.23882985e+11 6.43557112e+11 5.72743986e+11
 5.06548295e+11 4.40333269e+11 3.74646560e+11 3.12740957e+11
 2.54864834e+11 2.07234298e+11]",torsional stiffness per unit length about the Y_E elastic axis
aeroelastic.tor_freq,Hz,[6.58595286],First tower torsional frequency
aeroelastic.tower_outer_diameter,m,"[6.         6.         6.         6.         6.         6.
 6.         6.         6.         5.89079213 5.53032592]",cylinder diameter at corresponding locations
aeroelastic.tower_z,m,[  0.   13.7  27.4  41.1  54.8  68.5  82.2  95.9 109.6 123.3 137. ],z-coordinates of tower and monopile used in TowerSE
aeroelastic.tower_z_full,m,"[  0.           4.56666667   9.13333333  13.7         18.26666667
  22.83333333  27.4         31.96666667  36.53333333  41.1
  45.66666667  50.23333333  54.8         59.36666667  63.93333333
  68.5         73.06666667  77.63333333  82.2         86.76666667
  91.33333333  95.9        100.46666667 105.03333333 109.6
 114.16666667 118.73333333 123.3        127.86666667 132.43333333
 137.        ]",z-coordinates of tower and monopile used in TowerSE
aeroelastic.tower_height,m,[137.],tower height from the tower base
